loss,accuracy,val_loss,val_accuracy,lr
2.7221384048461914,0.26789289712905884,1.3881754875183105,0.7239114046096802,0.001
1.377411961555481,0.5569319128990173,0.804506778717041,0.8489114046096802,0.001
0.9536561965942383,0.6666666865348816,0.5538688898086548,0.8855105042457581,0.001
0.7588258385658264,0.7285410165786743,0.4608606994152069,0.8860735893249512,0.001
0.6389237642288208,0.7613863945007324,0.3492428660392761,0.9123498201370239,0.001
0.5631625652313232,0.7835960984230042,0.28995877504348755,0.9281156063079834,0.001
0.5443068146705627,0.7924174070358276,0.26105237007141113,0.9388138055801392,0.001
0.47867706418037415,0.8116241097450256,0.2531956434249878,0.9386261105537415,0.001
0.4437912404537201,0.8248248100280762,0.21964895725250244,0.9498873949050903,0.001
0.4182825982570648,0.8340215086936951,0.19859489798545837,0.9429429173469543,0.001
0.40590447187423706,0.8396521806716919,0.18713036179542542,0.9508258104324341,0.001
0.37842297554016113,0.8468468189239502,0.18600355088710785,0.9568318128585815,0.001
0.36851635575294495,0.8550425171852112,0.1666668802499771,0.9581456184387207,0.001
0.3405141830444336,0.8599224090576172,0.15457284450531006,0.9592717885971069,0.001
0.33313167095184326,0.8649274110794067,0.15955933928489685,0.9639639854431152,0.001
0.3208636939525604,0.865240216255188,0.14488820731639862,0.9658408164978027,0.001
0.3078491985797882,0.8753753900527954,0.14801837503910065,0.962837815284729,0.001
0.3049374222755432,0.8760635852813721,0.14249415695667267,0.9615240097045898,0.001
0.3090564012527466,0.8743118047714233,0.13063473999500275,0.964902400970459,0.001
0.2823013663291931,0.880630612373352,0.14260311424732208,0.9583333134651184,0.001
