loss,accuracy,val_loss,val_accuracy,lr
2.4056570529937744,0.3430930972099304,1.0886260271072388,0.6756756901741028,0.001
1.0045722723007202,0.6868743896484375,0.4288743734359741,0.8823198080062866,0.001
0.6018308997154236,0.8133133053779602,0.2632952630519867,0.9350600838661194,0.001
0.43429285287857056,0.8638638854026794,0.17923635244369507,0.962837815284729,0.001
0.34959912300109863,0.8872622847557068,0.12503908574581146,0.9718468189239502,0.001
0.2820200026035309,0.9106606841087341,0.09817484021186829,0.9756006002426147,0.001
0.24439093470573425,0.9241116046905518,0.07662700116634369,0.9797297120094299,0.001
0.2076379954814911,0.9342467188835144,0.07907974720001221,0.9782282114028931,0.001
0.18215082585811615,0.9423173069953918,0.06169081851840019,0.9840465188026428,0.001
0.16345186531543732,0.9481981992721558,0.05792364478111267,0.9827327132225037,0.001
