loss,accuracy,val_loss,val_accuracy,lr
2.8319060802459717,0.2655155062675476,1.7602219581604004,0.5555555820465088,0.001
1.5846470594406128,0.5361611843109131,0.7328895330429077,0.7897897958755493,0.001
1.0498369932174683,0.6675425171852112,0.4300621747970581,0.8763138055801392,0.001
0.8023712038993835,0.7443068027496338,0.3700157105922699,0.917792797088623,0.001
0.6483936905860901,0.794544517993927,0.18896880745887756,0.947259783744812,0.001
0.5301228761672974,0.8308933973312378,0.19017858803272247,0.9635885953903198,0.001
0.4591038227081299,0.8516016006469727,0.09916936606168747,0.9769144058227539,0.001
0.40764662623405457,0.8687437176704407,0.09063922613859177,0.975412905216217,0.001
0.36715278029441833,0.8856356143951416,0.10842540115118027,0.9675300121307373,0.001
0.33901822566986084,0.8963338136672974,0.07020052522420883,0.9831081032752991,0.001
