loss,accuracy,val_loss,val_accuracy,lr
1.58858060836792,0.5691941976547241,0.49838563799858093,0.8654279112815857,0.001
0.3909388482570648,0.8796296119689941,0.16554000973701477,0.9495120048522949,0.001
0.21970078349113464,0.9309309124946594,0.08878029137849808,0.9733483195304871,0.001
0.16333714127540588,0.9496371150016785,0.08445931226015091,0.9765390157699585,0.001
0.11707939207553864,0.9614614844322205,0.08055001497268677,0.9769144058227539,0.001
0.11471099406480789,0.9641516804695129,0.07045689970254898,0.9795420169830322,0.001
0.0909140408039093,0.9719094038009644,0.04274655878543854,0.987424910068512,0.001
0.0866946280002594,0.9739739894866943,0.08319437503814697,0.9778528809547424,0.001
0.08073035627603531,0.9748498201370239,0.058617886155843735,0.9831081032752991,0.001
0.04687013849616051,0.9844844937324524,0.020647767931222916,0.9941816926002502,0.0005
