loss,accuracy,val_loss,val_accuracy,lr
3.135878086090088,0.15127627551555634,2.0375521183013916,0.4562687575817108,0.001
2.0227277278900146,0.37981730699539185,1.290797472000122,0.5985360145568848,0.001
1.5691360235214233,0.4861736595630646,0.908683180809021,0.6974474191665649,0.001
1.3029158115386963,0.5656281113624573,0.7061069011688232,0.8245120048522949,0.001
1.1181108951568604,0.6179304122924805,0.5393517017364502,0.8149399161338806,0.001
0.9856231808662415,0.6577202081680298,0.46240371465682983,0.8740615844726562,0.001
0.8880453705787659,0.692379891872406,0.38577985763549805,0.9010885953903198,0.001
0.8087681531906128,0.720282793045044,0.33266472816467285,0.8963963985443115,0.001
0.7410104870796204,0.7419919967651367,0.30089834332466125,0.9001501798629761,0.001
0.6981106996536255,0.7562562823295593,0.2581305503845215,0.9382507801055908,0.001
