loss,accuracy,val_loss,val_accuracy,lr
2.3092763423919678,0.3801301419734955,1.1287883520126343,0.7231606841087341,0.001
1.1379318237304688,0.6650400161743164,0.5996478199958801,0.862424910068512,0.001
0.8083574771881104,0.7541291117668152,0.4124767780303955,0.9239864945411682,0.001
0.6493880152702332,0.8016141057014465,0.2968464195728302,0.9288663864135742,0.001
0.5605605840682983,0.8268893957138062,0.261436402797699,0.9288663864135742,0.001
0.48725083470344543,0.8529154062271118,0.19726012647151947,0.9558933973312378,0.001
0.4412742853164673,0.8623623847961426,0.1792268455028534,0.9632132053375244,0.001
0.4011096954345703,0.8729979991912842,0.18252626061439514,0.9573948979377747,0.001
0.3611603081226349,0.8837587833404541,0.15868285298347473,0.964902400970459,0.001
0.34700021147727966,0.8855105042457581,0.13616147637367249,0.9656531810760498,0.001
